id,question,option_a,option_b,option_c,option_d,correct_option
OIC-229-06-B,What should you do before inserting a central venous line to minimize the risk of infection?,Use a sterile technique and antiseptic solution,Insert the catheter through the skin only,Use a non-sterile needle and saline solution,Only use the catheter for 30 minutes before insertion,option_a
OIC-229-01-A,What is the primary indication for using a central venous port?,To monitor blood pressure,To administer medications,To collect blood samples,To drain fluid from the body,b
OIC-229-04-A,What is the recommended time to remove a central venous line?,As soon as possible,After 24 hours,After 7 days,Never,a
OIC-038-10-B,What is a common cause of male infertility?,Environmental factors,Genetic factors,Acquired testicular pathologies,Hypogonadotropic Hypogonadism,b
OIC-038-04-B,What is the recommended first consultation for an infertile couple?,Discuss lifestyle habits,Examine both members of the couple,Conduct a physical examination,Consult with a specialist only if necessary,b
OIC-038-09-B,What is the most common cause of female infertility?,Premature ovarian failure,Polycystic ovary syndrome,Hypothyroidism,Uterine or cervical pathology,option_a
OIC-038-02-A,What is the definition of infertility?,A couple who have been trying to conceive for more than a year without success.,A condition where a man ejaculates semen but no sperm are present in it.,The inability to achieve a clinical pregnancy after 12 months or more of unprotected sexual intercourse.,A couple who have been trying to conceive for less than a year without success.,c
OIC-038-03-B,What is the main factor predicting fertility in women?,Age,Weight,Smoking,Lifestyle factors,option_a
OIC-038-07-B,What is the primary purpose of a post-coital test in assessing male infertility?,To diagnose and treat erectile dysfunction,To determine if the couple has a high risk of fathering an abnormal child,To assess the severity of menorrhagia,To evaluate the effectiveness of sperm freezing for future use,c
OIC-038-01-A,What does 'fertility' mean?,A couple's ability to conceive,The number of times they can have sex without getting pregnant,Their ability to give birth to a child,The probability of a pregnancy occurring in the course of a month or a menstrual cycle,option_a
OIC-038-08-B,What is the recommended time for collecting sperm for a spermogram?,2 days,7 days,3 months,1 day,b
OIC-038-06-B,What is the primary cause of infertility in women with polycystic ovary syndrome (PCOS)?,"Cycle disorders (Spaniomenorrhoea, Amenorrhea)",Irregular cycles or secondary amenorrhea,Food selection and intensive sports activities,Previous sexually transmitted infection,option_a
OIC-038-05-B,What is a common factor that can affect sperm quality in men?,Exposure to heat,Tobacco consumption,Genetic factors,All of the above,d
OIC-187-06-A,What is the main cause of contact dermatitis in adults?,Allergic reaction to latex proteins,IgE-dependent allergic food urticaria,Vibratory angioedema,Immunological contact urticaria with anaphylaxis,option_a
OIC-187-11-B,What is a common complication of atopic dermatitis that can be difficult to diagnose?,Infectious superinfection by Staphylococcus aureus,Contact eczema from topical allergens,Viral infection with Herpes Simplex Virus (HSV-2),Allergic contact dermatitis from emollients,option_a
OIC-187-05-A,What is the main difference between chronic urticaria and anaphylaxis?,"Chronic urticaria is caused by a long-term allergy or hypersensitivity to a specific substance, while anaphylaxis is a sudden reaction to a foreign substance.","Anaphylaxis is always associated with acute urticaria, whereas chronic urticaria is not.",Both conditions can cause respiratory signs such as dyspnoea and bronchospasm.,The main difference between anaphylaxis and chronic urticaria is the presence of cardiovascular signs in anaphylaxis.,b
OIC-187-12-A,What is the recommended treatment for atopic dermatitis flare-ups in children?,Dermocorticoids,Oral antihistamines (anti-H1),Topical immunomodulator: Tacrolimus,"Systemic treatments for severe forms: phototherapy, cyclosporine, dupilumab, JAK inhibitors",b
OIC-187-18-A,What should be done after an eczema flare-up?,Apply topical corticosteroids,Use antihistamines,Moisturize with aloe vera,Avoid scratching the affected area,b
OIC-187-02-B,What is the main mediator released by mast cells in urticaria?,Histamine,Serotonin,Leukotriene,Vasopressin,a
OIC-187-07-A,What should be done to treat acute urticaria?,Avoiding triggers,Using 3rd generation antihistamines,Administering adrenaline,Inhaling beta-2 mimetics,option_a
OIC-187-13-B,What is the primary mechanism by which allergic contact dermatitis occurs?,CD8+ T cells,Lymphocytes in the lymph nodes,Epidermal dendritic cells,Histamine release from mast cells,a
OIC-187-09-A,What is the primary characteristic of atopic dermatitis in infants?,Lesions start on the face and scalp,Lesions are localized in the flexion creases of the limbs,The area under the nappy is spared,Atopic cheilitis typically appears on the lips,option_a
OIC-187-16-A,What is the primary source of contact allergy in adults?,Clothing Products,Cosmetics,Occupational Allergens,Ultraviolet (UV) Rays,option_a
OIC-187-08-B,What is one key factor that contributes to the development of atopic dermatitis?,Genetic predisposition,Immunological response,Environmental factors,Hormonal influences,c
OIC-187-03-A,What is the primary characteristic of superficial urticaria?,"A firm, non-itchy papule with a clear border","A soft, itchy plaque with a raised edge","A large, geographically-contoured lesion with a central depression","A small, annular blister with a lighter center","A firm, non-itchy papule with a clear border"
OIC-187-14-A,What is a characteristic feature of acute eczema?,Erythematous phase with poorly defined redness,The formation of scabs on the face,A sudden onset of pruritus,The presence of blisters filled with clear fluid,option_a
OIC-187-17-B,What is the primary difference between an irritant and allergic reaction?,"Irritant causes redness, while allergic reactions cause itching.",Allergic reactions are more severe than irritants.,"Irritants do not typically cause eczema, while allergic reactions can.",Irritant reactions usually last longer than allergic reactions.,c
OIC-187-01-A,What is the main cause of acute urticaria?,Genetic predisposition,Immunological reaction to food or environmental factors,Hormonal imbalance,Mastocyte activation due to viral infection,option_b
OIC-223-05-A,What is the main difference between familial hypercholesterolaemia (IIa) and heterozygous familial hypercholesterolaemia (IIb)?,Familial Hypercholesterolaemia (IIa) has a lower LDL-cholesterol level than heterozygous familial hypercholesterolaemia (IIb),Heterozygous familial hypercholesterolaemia (IIb) is characterized by an isolated increase in triglycerides,Familial Hypercholesterolaemia (IIa) has a higher risk of cardiovascular events than heterozygous familial hypercholesterolaemia (IIb),Heterozygous familial hypercholesterolaemia (IIb) is more common than familial hypercholesterolaemia (IIa),c
OIC-223-04-A,When to test for dyslipidemia?,Age 30,Age 60,Age 80,Age 40,option_a
OIC-223-01-A,What is the correct method to assess global cardiovascular risk in individuals aged 70 years and older?,SCORE2-OP equation,"Sum traditional risk factors (SFE-SFD-NSFA consensus, 2016)",Dyslipidaemia,Traditional Risk Factors only,b
OIC-223-02-A,What are the three main types of dyslipidemia?,Pure hypercholesterolaemia,Mixed hyperlipidaemia,Primary hypertriglyceridaemia,Dyslipidaemia associated with type 1 diabetes,option_a
OIC-223-08-B,What is a key test to order in the search for secondary dyslipidemia?,Complete Blood Count,Thyroid Function Tests,Liver Function Tests,Creatinine Clearance Test,b
OIC-223-07-A,What is a common cause of secondary hyperlipidemia?,Hypothyroidism,Atherosclerosis,Corticosteroids,Insulin Resistance,a
OIC-223-09-A,"What is the recommended LDL-cholesterol target in patients with familial hypercholesterolaemia aged ≥40 years without diabetes, renal insufficiency, or known cardiovascular disease?",1.8 mmol/L,2.6 mmol/L,3.5 mmol/L,4.9 mmol/L,b
OIC-223-03-B,What is the primary mechanism by which dyslipidemia leads to atherosclerosis?,Inflammation,Oxidation,Hormonal changes,Genetic predisposition,b
OIC-223-10-A,What is the recommended daily fat intake for individuals with hypercholesterolaemia?,35%,40%,50%,60%,a
OIC-227-01-A,What is the main difference between chronic venous insufficiency (CVI) and varicose veins?,"Varicose veins are a result of valve problems in the superficial veins, while CVI affects the deep veins.",Both conditions cause stasis of blood in the feet due to reflux,CVI is caused by muscle weakness and varicose veins by poor circulation,"Varicose veins are a result of valve problems in the superficial veins, while CVI affects the deep veins.",option_a
OIC-227-05-A,What is a major factor favoring the onset of varicose veins?,Heredity,"Primary prevention through nutrition in adults and children, sedentary lifestyle",Age,Female gender,option_a
OIC-227-02-B,What is the primary mechanism responsible for varicose veins?,Venous reflux,Obstruction of venous valves,Increased left ventricular perfusion pressure,Decreased atrial depression and diaphragmatic movements,b
OIC-227-09-A,What is the primary purpose of performing a Doppler ultrasound in the standing position to confirm the diagnosis of Chronic Venous Insufficiency (CVI)?,To check for superficial venous thrombosis,To identify functional signs and clinical examination findings,To measure toe pressure,To diagnose deep vein thrombosis,option_b
OIC-227-04-B,What is the most common aetiology of Chronic Venous Insufficiency (CVI)?,Varicose Disease or Essential Varicose Veins or Primary Varicose Veins,Post-Thrombotic Syndrome (PTS),Compressive Venous Syndromes,Functional Venous Insufficiency,option_a
OIC-227-03-A,What is the main difference between valve destruction and residual venous obstruction in post-thrombotic syndrome?,"Valve destruction causes reflux, while residual venous obstruction leads to increased pressure","Residual venous obstruction causes reflux, while valve destruction leads to increased pressure",Both cause increased pressure,Neither affects the severity of post-thrombotic syndrome,b
OIC-227-10-B,What is the primary goal of elastic compression therapy for chronic venous insufficiency?,To reduce swelling and improve mobility,To increase blood flow to the affected area,To relieve pain and discomfort in the legs,To promote weight loss and improve overall health,option_a
OIC-227-07-A,What is the most common symptom of chronic venous insufficiency (CVI)?,Pain or heaviness in the lower limbs,Varicose veins,Trophic disorders such as skin ulcers,Intermittent venous claudication related to chronic obstruction of a major venous confluence,A
OIC-227-08-A,What is the typical location of a varicose ulcer?,Peri-arterial,Peri-malleolar,Peri-femoral,Peri-tibial,option_b
OIC-227-06-B,What is a major public health problem in industrialized countries?,Atherosclerosis,Chronic venous insufficiency (CVI),Hypertension,Cardiovascular disease,b
OIC-183-04-A,What is the purpose of an occupational physician's 'Pre-Reinstatement Visit'?,To assess the employee's fitness for work,To determine if working conditions need to be adapted,To inform the employer about the employee's medical history,To provide written recommendations on workstation adaptations,option_a
OIC-183-05-B,What is the primary purpose of a Company Sheet in Occupational Health Medical Files?,To record and document occupational risks,To provide medical advice to employees,To report work-related injuries or illnesses,To notify the employer of employee's pathology,option_a
OIC-183-03-B,What is one key tool used by an occupational health physician to prevent occupational risks?,Employee health monitoring,Actions in the field,Workstation studies,Risk assessment,option_a
OIC-183-01-B,What is the primary purpose of an Occupational Health Service (OHS) department?,To provide medical care to employees,To manage employee absenteeism,To monitor employee health and prevent illnesses,To handle workplace accidents,c
OIC-183-06-A,What is the main difference between Primary and Secondary Prevention?,Primary prevention aims at reducing noise levels in a workplace,Secondary prevention focuses on detecting diseases early,Tertiary prevention involves adapting workstations to prevent illnesses,All of the above,option_a
OIC-183-07-B,What is the first step in the occupational health team's process to identify workplace hazards?,Knowledge of workstations,Knowledge of product composition (safety data sheets),Hazard identification and characterisation,Limit values: based on dose-response relationships published in the literature,option_a
OIC-183-02-B,What is one key action that an occupational health physician conducts directly in the workplace?,Conducting a fire drill,Assessing the use of personal protective equipment (PPE),Conducting a noise assessment,Conducting a chemical substance analysis,option_c
OIC-183-08-A,What is the correct order to follow when implementing a risk management approach in occupational medicine?,Eliminate hazards first,Limit emissions at source first,Limit employee exposure first,Evaluate the effectiveness of preventive measures last,option_b
OIC-073-01-A,What is the main purpose of psychotherapeutic techniques?,To cure mental illnesses,To improve mood and reduce stress,To treat physical disorders,To increase self-esteem,to treat psychiatric disorders
OIC-073-02-A,What distinguishes psychotherapy from mere conversation?,A specific diagnosis,A therapist's personal opinion,A brief phone call,A medical consultation,option_a
OIC-073-04-A,What is the main difference between Cognitive Behavioural Therapies (CBT) and Psychoanalytic Psychotherapy?,Both CBT and psychoanalysis focus on identifying and changing negative thought patterns.,"Psychoanalytic psychotherapy focuses on resolving unconscious conflicts, while CBT emphasizes behavioral change.","Cognitive Behavioural Therapies (CBT) are based on the idea that patients' symptoms stem from dysfunctional cognition, whereas psychoanalytic psychotherapy is based on unresolved childhood conflicts.",Both CBT and psychoanalysis aim to help patients manage their symptoms through a combination of therapy and self-help activities.,option_c
OIC-073-08-B,What is the primary goal of cognitive remediation in psychotherapy?,To improve memory,To enhance metacognition,To increase social cognition,To boost executive functions,b
OIC-073-05-B,What is the primary principle common to all psychotherapies?,Therapeutic technique using psychic processes,Theoretical model of the psyche,Patient involvement in decision-making,Defined intervention process,option_a
OIC-073-09-B,What is the primary indication for Cognitive-Behavioural Therapy (CBT)?,All psychiatric disorders,Sleep disorders,Substance use disorders,Chronic pain disorder,option_a
OIC-073-03-B,Who can be a psychotherapist?,Psychiatrist,Non-clinician psychologist,Psychoanalyst,Private psychotherapist,A regulated title (2010): National Register
OIC-073-06-B,What is the main objective of supportive psychotherapy?,To provide a safe space for patients to express their feelings,To help patients develop coping skills,To analyze patients' past experiences,To use cognitive-behavioral techniques,option_a
OIC-073-07-B,What is the primary goal of cognitive-behavioural therapy?,To change thoughts to improve mood,To change emotions to improve behaviour,To change behaviours to improve thought patterns,To change thought patterns to improve emotions,c
OIC-237-02-A,What is the main difference between a ventricular tachycardia and an acute coronary syndrome?,"Ventricular tachycardia has a wide QRS, while acute coronary syndrome does not","Ventricular tachycardia is associated with lipothymia, while acute coronary syndrome is linked to syncope","Both are caused by underlying heart disease, but ventricular tachycardia has a poor haemodynamic tolerance",Ventricular tachycardia is more likely to be associated with signs of low output,c
OIC-237-07-A,What is the typical presentation of a junctional tachycardia?,Palpitations known as 'Bouvere's disease',Atrial fibrillation,Ventricular supraventricular tachycardia (VT),Junctional ventricular escape rhythm (JVESR),option_a
OIC-237-09-B,What is a characteristic feature of Cardiac Neurosis?,A normal ECG with no abnormalities,A diagnosis based on a strictly abnormal ECG,Depression and anxiety as diagnostic criteria,Long-term monitoring to confirm the diagnosis,option_a
OIC-237-05-A,"What is the main difference between an atrial, ventricular, and junctional extra-systole?",Atrial,Ventricular,Junctional,None of the above,a
OIC-237-06-A,What is a common physiological context for adaptive sinus tachycardia?,Exercise,Stress,Pain,Hypothyroidism,b
OIC-237-04-B,What is the recommended procedure for carrying out complementary examinations in initial patient management of palpitations?,A Holter ECG with a recording time of between 24 and 96 hours,A long-term ambulatory ECG (7 to 21 days),A stress test during exercise,A routine CBC and ionogram,option_a
OIC-237-01-A,What is a characteristic of palpitations?,A sensation that the heart is beating too slowly,A sensation that the heart is beating too fast or irregularly,A sensation that the heart is not beating at all,A sensation that the heart is beating in a different location than usual,b
OIC-237-08-B,What is the characteristic ECG finding in Wolff-Parkinson-White syndrome?,Short PR interval,Wide QRS complex,Prolonged PR interval,Delta wave (δ),option_a
OIC-237-03-A,What is the main difference between Percritical and Inter-Critical ECGs?,"Percritical ECG is obtained during treatment, while Inter-Critical ECG is not",Inter-Critical ECG can be normal even without palpitations,Both are used for diagnosing palpitations in patients with a history of heart disease,Neither is typically performed on patients with frequent palpitations,option_a
OIC-101-05-A,What is the most common cause of Peripheral Facial Paralysis (PFP)?,Frigore,Head Trauma,Diabetes,Herpes Zoster of the Geniculate Ganglion,b
OIC-101-07-A,What should be done to treat facial paralysis with frigidity in children?,Prescription of oral corticosteroids (1 mg/kg/d) for 7-10 days,Use of heat packs on the face,Intravenous injection of adrenaline,Application of cold compresses to the eyes,option_a
OIC-101-02-A,What is a characteristic feature of peripheral facial paralysis?,The nasolabial fold is obliterated,The labial commissure falls away,The mouth is drawn to the healthy side when smiling,The eyelashes are longer on the paralysed side than on the healthy side when forcefully occluded,option_a
OIC-101-08-B,What is a common outcome for facial paralysis?,Recovery begins within 1 month,Abnormal movements,Residual synkinetic movements,Muscular weakness,option_a
OIC-101-06-A,What is the primary mode of onset for facial paralysis?,In the morning on waking,After exposure to cold (travel),Immediately after a meal,Within 30 minutes of lying down,option_b
OIC-101-10-A,What is the primary indication for cerebral imaging in Peripheral Facial Paralysis?,Brain MRI,Cerebral Scan,Other Imaging,Cervical CT/MRI with injection,option_a
OIC-101-01-B,What is the main difference between a facial paralysis and a muscular weakness in one hemiface?,Muscular weakness,Sensory and/or motor neurological deficit,Palpebral anomalies,Facial paralysis,b
OIC-051-03-A,What is the primary cause of isolated primary enuresis?,Urinary tract infection,Bladder dysfunction due to constipation,Vaginal micturition in girls,"Permanent, drip incontinence",option_a
OIC-051-01-A,What is a common cause of urinary incontinence in girls?,Vaginal micturition,Isolated urinary incontinence with laughter,Stress incontinence,Inadequate bladder training,option_a
OIC-051-06-A,What is the main difference between isolated primary enuresis and polyuric isolated primary enuresis?,"Isolated primary enuresis occurs when a child has never had a period of continence during sleep for at least six months, while polyuric isolated primary enuresis occurs when nocturnal urine volume is greater than daytime volume.",Both conditions are caused by an ADH cycle inversion and require imaging tests to confirm the diagnosis.,"Isolated primary enuresis is associated with a family history of ADHD, while polyuric isolated primary enuresis is not.",Neither condition requires a physical examination or questioning as part of the diagnostic process.,option_a
OIC-051-05-B,What is a common symptom of nocturnal enuresis in children?,Increased bladder capacity,Nighttime bedwetting,Improved sleep quality,Reduced bladder pressure,b
OIC-051-02-B,What is the primary purpose of a urinary debimetry test in children with micturition disorders?,To exclude low urinary infection,To measure post-micturition residue,To assess bladder capacity,To diagnose neurological causes of voiding problems,d
OIC-051-04-B,What is a common underlying cause of micturition disorders in children?,Psychological problems,Sleep disorders,Developmental delays,Genetic predisposition,option_a
OIC-336-09-A,What is the correct order for prescribing complementary examinations in an emergency for adults and children?,Capillary glycaemia verified by plasma glycaemia,"Standard ionogram with natraemia, calcaemia, urea, creatinine",Blood gases,Liver check-up,option_a
OIC-336-13-A,What is the main cause of Non-Traumatic Coma in Adults and Children?,Vascular,Metabolic,Endocrine,Withdrawal,b
OIC-336-04-A,What is the main difference between a patient in coma due to a basilar trunk thrombosis and one with brain stem hematoma?,The axis of the two eyes is generally parallel,The axis of the two eyes is generally parallel (slight exophoria in reality),Unilateral or bilateral VI paralysis is not localizing (length of nerve pathway) and suggests increased intracranial pressure,The axis of the two eyes is generally parallel (slight exophoria in reality),option_b
OIC-336-06-B,What is the minimum duration for an electroencephalogram (EEG) in a patient with brain death?,30 minutes,4 hours,1 hour,None of the above,b
OIC-336-08-A,What is a common sign of severe respiratory distress in adults and children?,Unilateral mydriasis,Central pulse,Papilledema,Respiratory pauses,option_a
OIC-336-01-A,What is a key characteristic of coma in adults and children?,A patient with a coma may open their eyes in response to verbal stimulation.,A patient with a coma will always have an old-sleep rhythm when opening their eyes.,"Eye tracking alone can determine consciousness, regardless of the level of alertness.",A coma is only present in infants and young children.,a
OIC-336-07-A,What should be done to correct hypoglycemia in a child?,Give them an IV glucose serum,Administer sugar cubes and orange juice,Wait for the child to wake up on their own,Only give them water if they are conscious,option_a
OIC-336-10-B,What is the preferred first-line imaging modality in suspected ischaemic stroke?,CT scan,Ultrasound,Brain CT with contrast,MRI with a non-contrast sequence,option_a
OIC-336-03-A,What is the correct interpretation of a Glasgow Coma Score in adults and children?,A score of Y4 indicates spontaneous eye opening.,A score of V5 indicates no response to verbal stimulation.,A score of M6 indicates normal motor response.,"A score of Y1 indicates no response, not even to pain.",option_a
OIC-336-05-A,What is the primary sign of coma in adults and children?,Fever,Meningeal syndrome,Local signs,Context,option_a
OIC-336-02-B,What is the primary mechanism contributing to coma in adults?,Loss of neural activity due to reduced blood flow,Overactivation of neurotransmitters,Disruption of normal sleep-wake cycles,Inflammation of the brain tissue,a
OIC-336-14-A,What is the primary goal of initial symptomatic management and correction of hypoglycemia in adults and children?,Administering insulin to raise blood glucose levels,Opening the airways to improve oxygenation,Removing dental prostheses to prevent aspiration,Using a Guédel cannula for respiratory support only when necessary,administering serum glucose (G30 IV)
OIC-336-15-B,What is the primary goal in managing non-traumaticoma airway protection for adults?,Maintain normal blood pressure,Avoid hypoxemia,Initiate mechanical ventilation immediately,Use a nasogastric tube to decompress the stomach,a
OIC-108-03-A,What is the main cause of mental confusion in dementia?,Meningitis,AVEC,Generalized epilepsy,Cerebral infarcts,option_b
OIC-108-13-B,What is the primary indication for imaging in dementia or confusion?,A CT scan,A cerebral MRI,A lumbar puncture,A neurological examination alone,b
OIC-108-14-B,What is the typical appearance of a chronic subdural hematoma?,A crescent-shaped collection with a clear boundary,A fluid-filled cyst with no distinct shape or boundary,A collection of blood clots in the dura mater,"A well-defined, rounded mass with a smooth surface",a
OIC-108-04-A,What is the main non-neurological cause of mental confusion?,Toxic Causes,Metabolic Causes,Infectious Causes,Other Causes,b
OIC-108-01-B,What is the primary risk factor for mental confusion in individuals with chronic psychiatric disorders?,Neurological disorders,Chronic pain,Pre-existing cognitive disorder,Genetic predisposition,c
OIC-108-08-A,What is the main difference between the **Pre-dementia** phase and the **State/Dementia** phase in Alzheimer's Disease?,"The Pre-dementia phase involves memory complaints, while the State/Dementia phase affects other cognitive functions.","The Pre-dementia phase has a more gradual progression of symptoms, whereas the State/Dementia phase is characterized by rapid decline.",Both phases involve significant loss of autonomy and basic activities of daily living.,"The Pre-dementia phase is often reversible with treatment, while the State/Dementia phase is irreversible.",b
OIC-108-16-B,What is a characteristic feature of chronic adult hydrocephalus?,Tetraventricular dilatation,Absence of mass effect,Suffusion of fluid into the periventricular parenchyma (transependymal resorption),Periventricular white matter atrophy,option_a
OIC-108-06-A,What should be done immediately after assessing a patient with mental confusion?,Administer medication,Provide food and water,Call emergency services,Wait for the patient to wake up,option_a
OIC-108-10-A,What is a common cause of confusion in Alzheimer's disease?,Abnormal genital bleeding,Depression,Chronic adult hydrocephalus,Creutzfeldt-Jakob disease,b
OIC-108-12-B,What is the main difference between attentional impairment in dementia and other cognitive functions?,Attentional impairment is necessary for all major intellectual functions.,The degree of attentional impairment must be checked before exploring or interpreting a cognitive disorder.,"Tests include repeating a long sentence, carrying out complex instructions, and giving the months of the year or days of the week backwards.","Temporal Lobe Involvement: Aphasia (language and/or phonation disorders) by impairment of comprehension, visual agnosia (failure to identify and represent simple visual objects).",b
OIC-108-05-A,What is the main reason for performing a lumbar puncture in cases of mental confusion?,To check for meningitis,To check for encephalitis,To check for fever without a clear cause,To rule out stroke,option_b
OIC-108-17-B,What is the primary indication for a 18FDG PET scan in dementia?,To confirm the diagnosis of frontotemporal lobar degeneration,To rule out Alzheimer's disease,To assess cerebral perfusion,To evaluate dopamine transporter activity,b
OIC-108-07-B,What is the primary protein associated with Alzheimer's Disease?,Amyloid Precursor Protein (APP),Beta-amyloid peptide (Aβ-42),Tau protein,Glutamate,option_a
OIC-108-02-A,"What is the main symptom of Confusion (mental confusion, confusional syndrome)?",Attention Deficit Disorder,"Acute or subacute, fluctuating sleep disorders",Disorganized thinking and behavioral disorders,Progressive loss of autonomy,c
OIC-108-11-A,What is the main goal of non-drug management in AD?,To manage symptoms and improve quality of life,To treat underlying causes of AD,To provide financial assistance only,To support families with AD,option_a
OIC-108-09-A,What is the main difference between episodic memory consolidation disorder and a recovery disorder?,The patient has difficulty recalling words after a delay,The patient's memories are more vivid and detailed,The patient can recall words immediately without any delay,The patient is able to learn new information quickly,option_a
OIC-153-01-A,What is the main difference between mechanical and biological valve prostheses?,Mechanical,Biological,Percutaneous,Surgical,b
OIC-153-02-A,What is the main complication associated with mechanical valve prosthesis wearers?,Thrombo-embolic complications,Infectious endocarditis,Degeneration of bioprostheses,Hemorrhagic complications associated with VKAs,a
OIC-153-05-A,What is the correct INR target value for patients with mechanical prostheses in aortic position?,2.5,3.0,4.0,3.5,b
OIC-153-03-A,What is the recommended frequency for clinical follow-up of wearers of prosthetic valves?,Every six months,Once a year,Twice a month,Never,b
OIC-153-06-B,What is a common cause of haemolysis in patients with prosthetic valves?,Infective endocarditis,Paravalvular leakage due to calcification,Haemorrhage from the valve,Dehiscence of the prosthesis,b
OIC-153-04-A,What is the primary indication for antibiotic prophylaxis in patients with valve prostheses?,Dental care every 6 months,Antibiotic treatment for native valve infections,Prevention of AEs for prosthesis wearers,Early adverse events (AEs) occurring less than one year after implantation,option_a
OIC-006-07-A,What is the primary purpose of a Morbidity and Mortality Meeting (RMM)?,To identify and document adverse events in patient care,To evaluate the effectiveness of clinical interventions,To provide feedback on patient safety practices,To review and update clinical policies and procedures,option_a
OIC-006-08-A,What is the main purpose of the Samu-Centre 15?,To provide emergency medical assistance to the public,To organize the patient's transport and hospital reception,To participate in drawing up emergency plans and dealing with exceptional health situations,To take charge of an emergency call outside a hospital,option_a
OIC-006-03-A,What is the main idea of the care pathway?,A series of steps to ensure efficient patient care,A predetermined order for medical procedures,A set of standardized treatments for specific conditions,A collection of medications prescribed by a doctor,a
OIC-006-04-B,What is the primary purpose of a multi-professional protocol?,To improve patient outcomes by ensuring consistent care,To increase administrative costs by requiring multiple professionals to follow the same protocols,To reduce healthcare costs by streamlining care processes,To enhance patient autonomy by allowing patients to make their own decisions about treatment,option_a
OIC-006-01-A,What are the main objectives of multi-professional teamwork?,To achieve better patient outcomes,To increase patient satisfaction,To reduce healthcare costs,To improve patient communication skills,to achieve better patient outcomes
OIC-006-06-A,What is the primary purpose of a checklist in clinical practice?,To ensure accurate identification of patients,To reduce medical errors by minimizing human error,To increase patient satisfaction through improved communication,To provide additional training for healthcare professionals,option_a
OIC-006-02-A,What is a common method used to secure patient care pathways?,A multi-professional protocol,The checklist in the operating theatre or for 'interventional' activities,Mortality and morbidity review (RMM),Multidisciplinary consultation meetings (RCP),A multi-professional protocol
OIC-006-05-A,What is the primary purpose of a Multidisciplinary Consultation Meeting (RCP)?,To provide immediate treatment for cancer patients,To discuss patient outcomes after surgery,To validate continuing professional development (CPD) obligations,To decide on the best course of action without considering other specialists' opinions,c
OIC-045-09-A,What is the most common cardiac anomaly associated with Trisomy 21 (Down's Syndrome)?,Atrioventricular canal defect,Ventricular septal defect,Atrial septal defect,None of the above,b
OIC-045-10-A,Quel est le diagnostic clinique de trisomie 21 en postnatal ?,Diagnostic clinique de trisomie 21 en ante-natal period,Diagnostic clinique de trisomie 21 en neonatal period,Diagnostic clinique de trisomie 21 en postnatal et en neonatal,Diagnostic clinique de trisomie 21 en postnatal et en mosaicisme,option_b
OIC-045-01-A,What is the main purpose of prenatal screening for trisomy 21?,To identify potential carriers of the disease,To detect genetic mutations that may lead to a serious illness,To determine if a pregnancy will result in a child with a severe disability,To confirm the presence of the disease in the fetus,d
OIC-045-08-B,What is the typical karyotype result for a person with trisomy 21?,Complete and homogeneous free trisomy 21,Incomplete mosaic free trisomy 21,Trisomy 18,No chromosomal anomaly,option_a
OIC-045-20-A,What is the estimated frequency of premutations in the general population?,1/100,1/500,1/2500,1/2000,b
OIC-045-21-B,What is the main difference between FXTAS syndrome and premature ovarian failure?,Premutation carriers with FXTAS have a higher risk of developing anxiety-depressive disorders,Premutation carriers with FXTAS have a lower risk of developing attention disorders,Premutation carriers with FXTAS have no risk of developing neuropsychiatric disorders,Premutation carriers with FXTAS have a higher risk of developing hyperactivity,option_b
OIC-045-17-A,What is the recommended imaging examination for patients with cystic fibrosis?,Chest X-ray,Abdominal ultrasound Doppler,Liver and digestive ultrasound Doppler,Thoracic CT scan with angio-scan,option_a
OIC-045-18-A,What is a characteristic feature of Fragile X syndrome in boys?,Epilepsy,Sleep disorders,"Advanced stature, joint hyperlaxity (fingers)",Mitral prolapse,option_c
OIC-045-02-B,What should be done to support the couple and family after a genetic disease diagnosis?,Offer counseling services,Provide financial assistance only,Focus on the child's skills,Put the child up for adoption,a
OIC-045-12-B,What is the most common mutation in France for cystic fibrosis?,F508del,DelF508G,F508del,Gln*56del,option_a
OIC-045-19-B,What is the primary mechanism by which the CGG trinucleotide repeat expands in Fragile X Syndrome?,Increased methylation of the promoter region,Decreased expression of the FMR1 gene,Random mutation of the CGG sequence,Hypermethylation of the FMR1 gene promoter,d
OIC-045-13-A,What is the primary purpose of taking a bloodstain from the newborn's heel on the third day of life during systematic neonatal screening?,To diagnose pancreatic damage,To identify the most frequent mutations in the CFTR gene,To detect the disease itself,To monitor the effectiveness of treatment,b
OIC-045-16-B,What is the primary goal of treating cystic fibrosis with 'specific mutations'?,Reduce salt loss through supplementation,Increase lung function using immunotherapy,Correct genetic defects in the CFTR protein,Improve male fertility by reducing testosterone levels,c
OIC-045-15-A,What is the main difference between cystic fibrosis and chronic bronchitis?,"Cystic fibrosis affects the lungs, while chronic bronchitis affects the airways.",Chronic bronchitis has a higher prevalence in adults than cystic fibrosis,Both conditions cause wheezing and coughing.,"The main difference is that cystic fibrosis causes malabsorption, while chronic bronchitis does not.",d
OIC-045-06-B,What is a common sign of trisomy 21 in the first trimester?,A neck length greater than 4.0 mm,A neck length less than 3.5 mm,A heart disease with no indirect signs,Intrauterine growth retardation without any placental cause,option_a
OIC-045-11-B,What is a common complication that can arise in adults with trisomy 21?,Hypothyroidism,Vision problems,Speech and/or phonation disorders,Premature ageing,b
