id,mcq_json,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-082-05-B,"{""question"": ""What is the primary purpose of using indocyanine green in fundus angiography?"", ""option_a"": ""To study retinal vascularisation"", ""option_b"": ""To diagnose optic neuropathies"", ""option_c"": ""To visualize pathological choroidal vessels"", ""option_d"": ""To assess the length of the eyeball"", ""correct_option"": ""C""}",,What is the primary purpose of using indocyanine green in fundus angiography?,To study retinal vascularisation,To diagnose optic neuropathies,To visualize pathological choroidal vessels,To assess the length of the eyeball,c
OIC-082-06-A,"{""question"": ""A patient presents with a sudden unilateral drop in visual acuity, associated with papilledema and an altitudinal deficit in the visual field. What is the most likely cause of this condition?"", ""option_a"": ""Multiple sclerosis"", ""option_b"": ""Horton's disease"", ""option_c"": ""Papilledema due to malignant arterial hypertension"", ""option_d"": ""Toxic optic neuropathy"", ""correct_option"": ""B""}",Etiologies,"A patient presents with a sudden unilateral drop in visual acuity, associated with papilledema and an altitudinal deficit in the visual field. What is the most likely cause of this condition?",Multiple sclerosis,Horton's disease,Papilledema due to malignant arterial hypertension,Toxic optic neuropathy,b
OIC-082-07-A,"{""question"": ""A patient presents with a sudden drop in vision accompanied by a white, painless eye. The fundus examination reveals a normal and visible retina. What is the most likely cause of the patient's symptoms?"", ""option_a"": ""Rhegmatogenous retinal detachment"", ""option_b"": ""Occlusion of the central retinal artery or one of its branches"", ""option_c"": ""Retrobulbar optic neuritis"", ""option_d"": ""Damage to the chiasmatic and retrochiasmatic optic tracts"", ""correct_option"": ""C""}",Emergency identification,"A patient presents with a sudden drop in vision accompanied by a white, painless eye. The fundus examination reveals a normal and visible retina. What is the most likely cause of the patient's symptoms?",Rhegmatogenous retinal detachment,Occlusion of the central retinal artery or one of its branches,Retrobulbar optic neuritis,Damage to the chiasmatic and retrochiasmatic optic tracts,c
OIC-082-08-B,"{""question"": ""Which of the following is NOT a primary indication for requesting a fluorescein angiography?"", ""option_a"": ""Age-related macular degeneration (AMD)"", ""option_b"": ""Central retinal vein occlusion (CRVO)"", ""option_c"": ""Inflammatory pathology of the posterior segment"", ""option_d"": ""Diabetic retinopathy"", ""correct_option"": ""D""}",Additional examinations,Which of the following is NOT a primary indication for requesting a fluorescein angiography?,Age-related macular degeneration (AMD),Central retinal vein occlusion (CRVO),Inflammatory pathology of the posterior segment,Diabetic retinopathy,d
OIC-082-09-B,"{""question"": ""A 55-year-old patient presents with sudden loss of vision in one eye. On fundus examination, there is diffuse narrowing of the arterial calibre, ischaemic white retinal oedema of the retina with cherry-red staining of the macula. What is the most likely diagnosis?"", ""option_a"": ""Central retinal vein occlusion"", ""option_b"": ""Central retinal artery occlusion"", ""option_c"": ""Diabetic retinopathy"", ""option_d"": ""Glaucoma"", ""correct_option"": ""B""}",Positive diagnosis,"A 55-year-old patient presents with sudden loss of vision in one eye. On fundus examination, there is diffuse narrowing of the arterial calibre, ischaemic white retinal oedema of the retina with cherry-red staining of the macula. What is the most likely diagnosis?",Central retinal vein occlusion,Central retinal artery occlusion,Diabetic retinopathy,Glaucoma,b
OIC-082-10-B,"{""question"": ""A 40-year-old patient presents with a rapid decline in visual acuity in one eye, accompanied by eye pain that worsens with eye movements. Which of the following conditions is most likely to be the cause of this patient's symptoms?"", ""option_a"": ""Anterior ischaemic optic neuropathy"", ""option_b"": ""Retrobulbar optic neuritis"", ""option_c"": ""Toxic and metabolic optic neuropathy"", ""option_d"": ""Tumoral optic neuropathy"", ""correct_option"": ""B""}",Positive diagnosis,"A 40-year-old patient presents with a rapid decline in visual acuity in one eye, accompanied by eye pain that worsens with eye movements. Which of the following conditions is most likely to be the cause of this patient's symptoms?",Anterior ischaemic optic neuropathy,Retrobulbar optic neuritis,Toxic and metabolic optic neuropathy,Tumoral optic neuropathy,b
OIC-082-11-A,"{""question"": ""A patient presents with a bilateral scintillating scotoma, accompanied by coloured flashes, which progressively extend to one visual hemifield. What is the most likely diagnosis?"", ""option_a"": ""Ophthalmic migraine or visual migraine aura"", ""option_b"": ""Partial epileptic seizure"", ""option_c"": ""Optic neuritis"", ""option_d"": ""Retinal detachment"", ""correct_option"": ""A""}",Positive diagnosis,"A patient presents with a bilateral scintillating scotoma, accompanied by coloured flashes, which progressively extend to one visual hemifield. What is the most likely diagnosis?",Ophthalmic migraine or visual migraine aura,Partial epileptic seizure,Optic neuritis,Retinal detachment,a
OIC-082-12-B,"{""question"": ""What is a common cause of transient visual disorders that can be mistaken for a migraine aura?"", ""option_a"": ""Retinal detachment"", ""option_b"": ""Transient ischaemic attacks"", ""option_c"": ""Partial occipital epilepsy"", ""option_d"": ""Posterior uveitis"", ""correct_option"": ""B""}",Positive diagnosis,What is a common cause of transient visual disorders that can be mistaken for a migraine aura?,Retinal detachment,Transient ischaemic attacks,Partial occipital epilepsy,Posterior uveitis,b
OIC-082-13-B,"{""question"": ""What is the term used to describe the appearance of the papilla in the absence of papilloedema?"", ""option_a"": ""Blurred"", ""option_b"": ""Sharp-edged"", ""option_c"": ""In relief"", ""option_d"": ""Not in relief"", ""correct_option"": ""B""}",Multimedia content,What is the term used to describe the appearance of the papilla in the absence of papilloedema?,Blurred,Sharp-edged,In relief,Not in relief,b
OIC-082-14-B,"{""question"": ""A patient presents with a visual field defect where they are unable to see the left half of their visual field in both eyes, what is the most likely diagnosis?"", ""option_a"": ""Bitemporal hemianopia"", ""option_b"": ""Homonymous lateral hemianopia"", ""option_c"": ""Relative afferent pupillary deficit"", ""option_d"": ""Quadranopsia"", ""correct_option"": ""B""}",Multimedia content,"A patient presents with a visual field defect where they are unable to see the left half of their visual field in both eyes, what is the most likely diagnosis?",Bitemporal hemianopia,Homonymous lateral hemianopia,Relative afferent pupillary deficit,Quadranopsia,b
OIC-082-15-A,"{""question"": ""What is the primary purpose of searching for multiple tears during the examination of a patient with suspected rhegmatogenous retinal detachment?"", ""option_a"": ""To confirm the presence of a retinal tear"", ""option_b"": ""To identify the location of the detached retina"", ""option_c"": ""To ensure successful surgical treatment by identifying all potential tears"", ""option_d"": ""To determine the underlying cause of the retinal detachment"", ""correct_option"": ""C""}",Identification of the emergency,What is the primary purpose of searching for multiple tears during the examination of a patient with suspected rhegmatogenous retinal detachment?,To confirm the presence of a retinal tear,To identify the location of the detached retina,To ensure successful surgical treatment by identifying all potential tears,To determine the underlying cause of the retinal detachment,c
OIC-082-16-B,"{""question"": ""What is the primary goal of surgical treatment for rhegmatogenous retinal detachment?"", ""option_a"": ""To remove the vitreous cavity and replace it with a new fluid"", ""option_b"": ""To seal the peripheral retinal tear and stop the passage of subretinal fluid"", ""option_c"": ""To perform a cataract surgery to correct the myopia"", ""option_d"": ""To inject medication into the eye to reduce inflammation"", ""correct_option"": ""B""}",Positive diagnosis,What is the primary goal of surgical treatment for rhegmatogenous retinal detachment?,To remove the vitreous cavity and replace it with a new fluid,To seal the peripheral retinal tear and stop the passage of subretinal fluid,To perform a cataract surgery to correct the myopia,To inject medication into the eye to reduce inflammation,b
OIC-082-17-B,"{""question"": ""A patient presents with a sudden drop in visual acuity and a sensation of 'sooty rain', what is the most likely cause of this condition?"", ""option_a"": ""Proliferative diabetic retinopathy"", ""option_b"": ""Ischaemic occlusions of the central retinal vein or one of its branches"", ""option_c"": ""Retinal tear"", ""option_d"": ""Terson's syndrome"", ""correct_option"": ""D""}",,"A patient presents with a sudden drop in visual acuity and a sensation of 'sooty rain', what is the most likely cause of this condition?",Proliferative diabetic retinopathy,Ischaemic occlusions of the central retinal vein or one of its branches,Retinal tear,Terson's syndrome,d
OIC-086-01-A,"{""question"": ""What is the primary consequence of an ectropion on the eye?"", ""option_a"": ""Corneal exposure and inadequate palpebral occlusion"", ""option_b"": ""Lacrimation and increased intraocular pressure"", ""option_c"": ""Dry eye syndrome and vision loss"", ""option_d"": ""Increased tear production and improved vision"", ""correct_option"": ""A""}",Positive diagnosis,What is the primary consequence of an ectropion on the eye?,Corneal exposure and inadequate palpebral occlusion,Lacrimation and increased intraocular pressure,Dry eye syndrome and vision loss,Increased tear production and improved vision,a
OIC-086-02-A,"{""question"": ""What is the primary cause of entropion when the eyelid tilts towards the conjunctiva due to relaxation of the cutaneous tissues?"", ""option_a"": ""Cicatricial entropion"", ""option_b"": ""Trachoma"", ""option_c"": ""Senile entropion"", ""option_d"": ""Bullous pathology"", ""correct_option"": ""C""}",Positive diagnosis,What is the primary cause of entropion when the eyelid tilts towards the conjunctiva due to relaxation of the cutaneous tissues?,Cicatricial entropion,Trachoma,Senile entropion,Bullous pathology,c
OIC-086-03-A,"{""question"": ""What is the key difference between ptosis and dermachalasis in terms of their effect on the visual axis?"", ""option_a"": ""Ptosis covers the visual axis, while dermachalasis does not"", ""option_b"": ""Dermachalasis covers the visual axis, while ptosis does not"", ""option_c"": ""Both ptosis and dermachalasis cover the visual axis"", ""option_d"": ""Neither ptosis nor dermachalasis cover the visual axis"", ""correct_option"": ""B""}",Positive diagnosis,What is the key difference between ptosis and dermachalasis in terms of their effect on the visual axis?,"Ptosis covers the visual axis, while dermachalasis does not","Dermachalasis covers the visual axis, while ptosis does not",Both ptosis and dermachalasis cover the visual axis,Neither ptosis nor dermachalasis cover the visual axis,b
OIC-086-04-A,"{""question"": ""What is the primary cause of ptosis in the case of a Claude-Bernard-Horner syndrome?"", ""option_a"": ""Myogenic due to damage to the levator muscle of the upper eyelid"", ""option_b"": ""Neurogenic by paralysis of the III"", ""option_c"": ""Senile due to relaxation of the levator aponeurosis"", ""option_d"": ""Traumatic due to rupture of the levator aponeurosis"", ""correct_option"": ""B""}",Etiologies,What is the primary cause of ptosis in the case of a Claude-Bernard-Horner syndrome?,Myogenic due to damage to the levator muscle of the upper eyelid,Neurogenic by paralysis of the III,Senile due to relaxation of the levator aponeurosis,Traumatic due to rupture of the levator aponeurosis,b
OIC-086-05-A,"{""question"": ""What is the primary characteristic of a chalazion that distinguishes it from a stye?"", ""option_a"": ""It is caused by bacterial infection"", ""option_b"": ""It is a painful swelling of the eyelid"", ""option_c"": ""It is a purely sebaceous inflammatory granuloma"", ""option_d"": ""It is a short-lived condition"", ""correct_option"": ""C""}",Positive diagnosis,What is the primary characteristic of a chalazion that distinguishes it from a stye?,It is caused by bacterial infection,It is a painful swelling of the eyelid,It is a purely sebaceous inflammatory granuloma,It is a short-lived condition,c
OIC-086-06-A,"{""question"": ""What is the most common cause of a stye?"", ""option_a"": ""Bacterial infection with Streptococcus pyogenes"", ""option_b"": ""Bacterial infection with Staphylococcus aureus"", ""option_c"": ""Viral infection with Influenza A"", ""option_d"": ""Fungal infection with Candida albicans"", ""correct_option"": ""B""}",Positive diagnosis,What is the most common cause of a stye?,Bacterial infection with Streptococcus pyogenes,Bacterial infection with Staphylococcus aureus,Viral infection with Influenza A,Fungal infection with Candida albicans,b
OIC-086-07-A,"{""question"": ""What is the primary characteristic of a chalazion that is visible in the photograph of a chalazion with extension to the outer surface of the eyelid?"", ""option_a"": ""Internal extension to the eyelid"", ""option_b"": ""External extension to the eyelid"", ""option_c"": ""Involvement of the tarsal surface"", ""option_d"": ""Cutaneous surface involvement"", ""correct_option"": ""D""}",Multimedia content,What is the primary characteristic of a chalazion that is visible in the photograph of a chalazion with extension to the outer surface of the eyelid?,Internal extension to the eyelid,External extension to the eyelid,Involvement of the tarsal surface,Cutaneous surface involvement,d
OIC-086-08-A,"{""question"": ""What is the medical term for the condition shown in the image of the lower eyelid?"", ""option_a"": ""Chalazion"", ""option_b"": ""Stye"", ""option_c"": ""Hordeolum"", ""option_d"": ""Blepharitis"", ""correct_option"": ""B""}",Multimedia content,What is the medical term for the condition shown in the image of the lower eyelid?,Chalazion,Stye,Hordeolum,Blepharitis,b
OIC-086-09-B,"{""question"": ""What is the primary characteristic that distinguishes malignant from benign palpebral tumours?"", ""option_a"": ""Rapid and continuous growth"", ""option_b"": ""Heterochromia"", ""option_c"": ""Loss of eyelashes"", ""option_d"": ""Pearly nodules and telangiectasias"", ""correct_option"": ""A""}",Positive diagnosis,What is the primary characteristic that distinguishes malignant from benign palpebral tumours?,Rapid and continuous growth,Heterochromia,Loss of eyelashes,Pearly nodules and telangiectasias,a
OIC-086-10-B,"{""question"": ""What is the recommended approach for managing a chalazion that does not respond to local corticosteroid ointment and eyelid massage?"", ""option_a"": ""Surgical excision of the entire eyelid"", ""option_b"": ""Incision and removal of the meibomian gland under local anaesthetic"", ""option_c"": ""Oral antibiotics and anti-inflammatory medication"", ""option_d"": ""Topical antiseptic eye drops only"", ""correct_option"": ""B""}",Management,What is the recommended approach for managing a chalazion that does not respond to local corticosteroid ointment and eyelid massage?,Surgical excision of the entire eyelid,Incision and removal of the meibomian gland under local anaesthetic,Oral antibiotics and anti-inflammatory medication,Topical antiseptic eye drops only,b
OIC-086-11-A,"{""question"": ""What is the preferred method for treating a stye that is resistant to treatment or has become encysted?"", ""option_a"": ""Oral antibiotics"", ""option_b"": ""Incision at the free edge under local anaesthetic"", ""option_c"": ""Surgical removal of the eyelid"", ""option_d"": ""Application of heat to the affected area"", ""correct_option"": ""B""}",Management,What is the preferred method for treating a stye that is resistant to treatment or has become encysted?,Oral antibiotics,Incision at the free edge under local anaesthetic,Surgical removal of the eyelid,Application of heat to the affected area,b
OIC-086-12-A,"{""question"": ""A patient presents with acute ptosis, binocular diplopia, and strabismus, but no headache. What is the most likely cause of these symptoms?"", ""option_a"": ""Claude Bernard-Horner syndrome"", ""option_b"": ""Intracranial retrocarotid aneurysm"", ""option_c"": ""Pancoast-Tobias syndrome"", ""option_d"": ""Wallenberg syndrome"", ""correct_option"": ""B""}",Identification of the emergency,"A patient presents with acute ptosis, binocular diplopia, and strabismus, but no headache. What is the most likely cause of these symptoms?",Claude Bernard-Horner syndrome,Intracranial retrocarotid aneurysm,Pancoast-Tobias syndrome,Wallenberg syndrome,b
OIC-086-13-B,"{""question"": ""What is the appropriate age to insert a catheter for persistent watering of the eyes without anaesthetic?"", ""option_a"": ""At birth"", ""option_b"": ""From the age of 4 months"", ""option_c"": ""From the age of 1 year"", ""option_d"": ""From the age of 5 years"", ""correct_option"": ""B""}",Epidemiology,What is the appropriate age to insert a catheter for persistent watering of the eyes without anaesthetic?,At birth,From the age of 4 months,From the age of 1 year,From the age of 5 years,b
OIC-094-01-A,"{""question"": ""What is the duration criterion for classifying low back pain as chronic?"", ""option_a"": ""< 3 months"", ""option_b"": ""6 weeks to 3 months"", ""option_c"": ""> 3 months"", ""option_d"": ""12 months to 18 months"", ""correct_option"": ""C""}",Definition,What is the duration criterion for classifying low back pain as chronic?,< 3 months,6 weeks to 3 months,> 3 months,12 months to 18 months,c
OIC-094-02-B,"{""question"": ""What is the estimated prevalence of common low back pain in the general population?"", ""option_a"": ""1/4 to 1/3 of the general population"", ""option_b"": ""2/3 of the population affected in their lifetime"", ""option_c"": ""5 to 10% of rheumatology consultations"", ""option_d"": ""60 to 90% of the population affected in their lifetime"", ""correct_option"": ""A""}",Epidemiology,What is the estimated prevalence of common low back pain in the general population?,1/4 to 1/3 of the general population,2/3 of the population affected in their lifetime,5 to 10% of rheumatology consultations,60 to 90% of the population affected in their lifetime,a
OIC-094-03-A,"{""question"": ""What is the primary purpose of looking for 'red flags' during the examination of a patient with spinal pain?"", ""option_a"": ""To identify the most effective treatment option"", ""option_b"": ""To determine the severity of the pain"", ""option_c"": ""To identify potential underlying causes of the pain"", ""option_d"": ""To assess the patient's ability to perform daily activities"", ""correct_option"": ""C""}",Positive diagnosis,What is the primary purpose of looking for 'red flags' during the examination of a patient with spinal pain?,To identify the most effective treatment option,To determine the severity of the pain,To identify potential underlying causes of the pain,To assess the patient's ability to perform daily activities,c
OIC-094-04-B,"{""question"": ""A patient presents with low back pain that is exacerbated by walking or prolonged standing/sitting down, and the pain is referred remotely to the buttocks and thighs. What is the most likely underlying cause of this patient's symptoms?"", ""option_a"": ""Disc syndrome"", ""option_b"": ""Interapophyseal origin"", ""option_c"": ""Muscle strain"", ""option_d"": ""Herniated nucleus pulposus"", ""correct_option"": ""B""}",Physiopathology,"A patient presents with low back pain that is exacerbated by walking or prolonged standing/sitting down, and the pain is referred remotely to the buttocks and thighs. What is the most likely underlying cause of this patient's symptoms?",Disc syndrome,Interapophyseal origin,Muscle strain,Herniated nucleus pulposus,b
OIC-094-05-B,"{""question"": ""What is a risk factor associated with low back pain but not with neck pain?"", ""option_a"": ""Spinal static disorders"", ""option_b"": ""Obesity"", ""option_c"": ""Sedentary lifestyle"", ""option_d"": ""Family history"", ""correct_option"": ""B""}",Epidemiology,What is a risk factor associated with low back pain but not with neck pain?,Spinal static disorders,Obesity,Sedentary lifestyle,Family history,b
OIC-094-06-A,"{""question"": ""In a patient presenting with acute neck pain, which of the following imaging tests should be performed before the 7th week, EXCEPT for the following circumstances?"", ""option_a"": ""MRI of the cervical spine with blood tests"", ""option_b"": ""Remote dynamic films (profile in flexion and extension) plus cervico-occipital hinge"", ""option_c"": ""X-ray of the cervical spine F + P + 3/4"", ""option_d"": ""F + P dorsal spine X-rays and others according to diagnostic orientation"", ""correct_option"": ""D""}",,"In a patient presenting with acute neck pain, which of the following imaging tests should be performed before the 7th week, EXCEPT for the following circumstances?",MRI of the cervical spine with blood tests,Remote dynamic films (profile in flexion and extension) plus cervico-occipital hinge,X-ray of the cervical spine F + P + 3/4,F + P dorsal spine X-rays and others according to diagnostic orientation,d
OIC-094-07-A,"{""question"": ""A patient presents with back pain that is progressively worsening, present at rest and particularly at night, and has no history of trauma or significant structural deformity. What is the most appropriate next step in the diagnostic workup?"", ""option_a"": ""X-rays of the lumbar spine"", ""option_b"": ""MRI of the lumbar spine"", ""option_c"": ""Inflammatory workup, including biology and imaging"", ""option_d"": ""Pain management with NSAIDs and rest"", ""correct_option"": ""C""}",Identification of the emergency,"A patient presents with back pain that is progressively worsening, present at rest and particularly at night, and has no history of trauma or significant structural deformity. What is the most appropriate next step in the diagnostic workup?",X-rays of the lumbar spine,MRI of the lumbar spine,"Inflammatory workup, including biology and imaging",Pain management with NSAIDs and rest,c
OIC-094-08-B,"{""question"": ""What is the approximate probability of returning to work after 2 years of being off work due to back pain?"", ""option_a"": ""50%"", ""option_b"": ""75%"", ""option_c"": ""0%"", ""option_d"": ""25%"", ""correct_option"": ""C""}",Follow-up and/or prognosis,What is the approximate probability of returning to work after 2 years of being off work due to back pain?,50%,75%,0%,25%,c
OIC-094-09-A,"{""question"": ""A patient presents with back pain, weight loss, asthenia, and hyperthermia, what is the most likely diagnosis?"", ""option_a"": ""Ankylosing spondylitis"", ""option_b"": ""Pott's disease (tuberculous spondylodiscitis)"", ""option_c"": ""Osteoporotic vertebral fracture"", ""option_d"": ""Metastases from a primary cancer"", ""correct_option"": ""B""}",Etiologies,"A patient presents with back pain, weight loss, asthenia, and hyperthermia, what is the most likely diagnosis?",Ankylosing spondylitis,Pott's disease (tuberculous spondylodiscitis),Osteoporotic vertebral fracture,Metastases from a primary cancer,b
OIC-094-10-B,"{""question"": ""A patient presents with neck pain, which is likely due to a condition affecting the posterior fossa. What is the most likely cause of this referred pain?"", ""option_a"": ""Rheumatoid arthritis affecting the cervical spine"", ""option_b"": ""Intrarachid or posterior fossa tumour"", ""option_c"": ""Chondrocalcinosis affecting the intervertebral discs"", ""option_d"": ""Referred pain of ENT or anterior cervical origin"", ""correct_option"": ""B""}",Etiologies,"A patient presents with neck pain, which is likely due to a condition affecting the posterior fossa. What is the most likely cause of this referred pain?",Rheumatoid arthritis affecting the cervical spine,Intrarachid or posterior fossa tumour,Chondrocalcinosis affecting the intervertebral discs,Referred pain of ENT or anterior cervical origin,b
OIC-094-11-B,"{""question"": ""What is the term used to describe the complex causes of chronic common low back pain?"", ""option_a"": ""Complicated spinal pain"", ""option_b"": ""Complex spinal pain"", ""option_c"": ""Secondary spinal pain"", ""option_d"": ""Primary spinal pain"", ""correct_option"": ""B""}",,What is the term used to describe the complex causes of chronic common low back pain?,Complicated spinal pain,Complex spinal pain,Secondary spinal pain,Primary spinal pain,b
OIC-094-12-A,"{""question"": ""What is the recommended approach to managing an acute episode of low back pain to prevent progression to chronicity?"", ""option_a"": ""Orderly bed rest and prolonged work stoppage"", ""option_b"": ""Maintaining physical activity while adapting it to the intensity of the pain"", ""option_c"": ""Continuous and prolonged cervical immobilization"", ""option_d"": ""Spinal tractions and back school as first-line treatment"", ""correct_option"": ""B""}",Management,What is the recommended approach to managing an acute episode of low back pain to prevent progression to chronicity?,Orderly bed rest and prolonged work stoppage,Maintaining physical activity while adapting it to the intensity of the pain,Continuous and prolonged cervical immobilization,Spinal tractions and back school as first-line treatment,b
OIC-094-13-B,"{""question"": ""What is the recommended approach to physical activity for a patient with chronic low back pain?"", ""option_a"": ""Complete bed rest until symptoms resolve"", ""option_b"": ""Continue activities, adapting them to the intensity of the pain"", ""option_c"": ""Avoid all physical activity to prevent exacerbation of symptoms"", ""option_d"": ""Increase physical activity to the point of pain"", ""correct_option"": ""B""}",Management,What is the recommended approach to physical activity for a patient with chronic low back pain?,Complete bed rest until symptoms resolve,"Continue activities, adapting them to the intensity of the pain",Avoid all physical activity to prevent exacerbation of symptoms,Increase physical activity to the point of pain,b
OIC-094-14-A,"{""question"": ""A patient presents with low back pain, which is not relieved by rest and is associated with abdominal pain. What is the most likely extrarachidian cause of this referred low back pain?"", ""option_a"": ""Gastric tumour"", ""option_b"": ""Abdominal aortic aneurysm"", ""option_c"": ""Pelvic endometriosis"", ""option_d"": ""Retroperitoneal fibrosis"", ""correct_option"": ""B""}",Positive diagnosis,"A patient presents with low back pain, which is not relieved by rest and is associated with abdominal pain. What is the most likely extrarachidian cause of this referred low back pain?",Gastric tumour,Abdominal aortic aneurysm,Pelvic endometriosis,Retroperitoneal fibrosis,b
OIC-094-16-B,"{""question"": ""A patient presents with pain localized to the coccygeal area, exacerbated by sitting and/or rising from a seated position, and functional discomfort while sitting. What is the most likely cause of this condition?"", ""option_a"": ""Sacroiliac pain"", ""option_b"": ""Anal pain"", ""option_c"": ""Pudendal neuralgia"", ""option_d"": ""Lumbar pain with coccygeal irradiation"", ""correct_option"": ""D""}",Positive diagnosis,"A patient presents with pain localized to the coccygeal area, exacerbated by sitting and/or rising from a seated position, and functional discomfort while sitting. What is the most likely cause of this condition?",Sacroiliac pain,Anal pain,Pudendal neuralgia,Lumbar pain with coccygeal irradiation,d
OIC-099-01-B,"{""question"": ""According to the text, what is the most disabling neurological disease?"", ""option_a"": ""Tension headache"", ""option_b"": ""Migraine"", ""option_c"": ""Algie vasculaire de la face"", ""option_d"": ""Drug-induced headache"", ""correct_option"": ""B""}",Epidemiology,"According to the text, what is the most disabling neurological disease?",Tension headache,Migraine,Algie vasculaire de la face,Drug-induced headache,b
OIC-099-02-B,"{""question"": ""What is the primary mechanism underlying the prodromal phase of a migraine attack?"", ""option_a"": ""Activation of the trigemino-vascular system"", ""option_b"": ""Wave of pervasive cortical depression with moderate vasoconstriction"", ""option_c"": ""Activation of the hypothalamus"", ""option_d"": ""Inhibition of the brainstem and trigeminovascular system"", ""correct_option"": ""C""}",Physiopathology,What is the primary mechanism underlying the prodromal phase of a migraine attack?,Activation of the trigemino-vascular system,Wave of pervasive cortical depression with moderate vasoconstriction,Activation of the hypothalamus,Inhibition of the brainstem and trigeminovascular system,c
OIC-099-03-A,"{""question"": ""What is the primary factor that distinguishes short-term chronic daily headache from long-term chronic daily headache?"", ""option_a"": ""Duration of attacks without treatment"", ""option_b"": ""Number of headache days per month"", ""option_c"": ""Temporal profile of the headache"", ""option_d"": ""Type of pain experienced"", ""correct_option"": ""C""}",Positive diagnosis,What is the primary factor that distinguishes short-term chronic daily headache from long-term chronic daily headache?,Duration of attacks without treatment,Number of headache days per month,Temporal profile of the headache,Type of pain experienced,c
OIC-099-04-A,"{""question"": ""What is the minimum number of days per month that must be met for a diagnosis of chronic tension headache according to the ICHD-3 criteria?"", ""option_a"": ""10 days"", ""option_b"": ""15 days"", ""option_c"": ""20 days"", ""option_d"": ""25 days"", ""correct_option"": ""B""}",Positive diagnosis,What is the minimum number of days per month that must be met for a diagnosis of chronic tension headache according to the ICHD-3 criteria?,10 days,15 days,20 days,25 days,b
OIC-099-05-A,"{""question"": ""What is a characteristic feature of the attacks in patients with episodic AVF?"", ""option_a"": ""Attacks occur at random times throughout the year"", ""option_b"": ""Attacks occur for periods of a few weeks to a few months, sometimes with a circadian and circannual cycle"", ""option_c"": ""Attacks are always triggered by a specific food or drink"", ""option_d"": ""Attacks are always accompanied by a fever"", ""correct_option"": ""B""}",Positive diagnosis,What is a characteristic feature of the attacks in patients with episodic AVF?,Attacks occur at random times throughout the year,"Attacks occur for periods of a few weeks to a few months, sometimes with a circadian and circannual cycle",Attacks are always triggered by a specific food or drink,Attacks are always accompanied by a fever,b
OIC-099-06-A,"{""question"": ""What is the primary difference between essential (classic or idiopathic) trigeminal neuralgia and secondary trigeminal neuropathic pain?"", ""option_a"": ""Intensity of pain"", ""option_b"": ""Type of pain"", ""option_c"": ""Presence of trigger zone"", ""option_d"": ""Location of pain"", ""correct_option"": ""B""}",Positive diagnosis,What is the primary difference between essential (classic or idiopathic) trigeminal neuralgia and secondary trigeminal neuropathic pain?,Intensity of pain,Type of pain,Presence of trigger zone,Location of pain,b
OIC-099-07-A,"{""question"": ""A patient presents with frequent headaches and is diagnosed with both migraines and tension headaches. What is the minimum number of days per month that the migraines must occur to qualify as chronic migraines?"", ""option_a"": ""5 days per month"", ""option_b"": ""8 days per month"", ""option_c"": ""10 days per month"", ""option_d"": ""15 days per month"", ""correct_option"": ""B""}",Positive diagnosis,A patient presents with frequent headaches and is diagnosed with both migraines and tension headaches. What is the minimum number of days per month that the migraines must occur to qualify as chronic migraines?,5 days per month,8 days per month,10 days per month,15 days per month,b
OIC-099-08-A,"{""question"": ""A patient presents with severe facial pain, photophobia, and nausea, lasting for 4-72 hours. What is the most likely diagnosis?"", ""option_a"": ""Idiopathic facialalgia"", ""option_b"": ""Trigeminal neuralgia"", ""option_c"": ""Migraine sans aura"", ""option_d"": ""Carotid dissection"", ""correct_option"": ""C""}",Positive diagnosis,"A patient presents with severe facial pain, photophobia, and nausea, lasting for 4-72 hours. What is the most likely diagnosis?",Idiopathic facialalgia,Trigeminal neuralgia,Migraine sans aura,Carotid dissection,c
OIC-099-09-A,"{""question"": ""What is the typical pain pattern and examination findings in a patient with a dental abscess?"", ""option_a"": ""Sharp, stabbing, sleepless pain with general infectious signs and sometimes spectacular local signs (oedema, vestibular filling, reddening of the skin opposite the causal tooth, trismus, cervical adenopathy)"", ""option_b"": ""Brief pain after stimulus to the tooth (cold, hot, sugar, acid)"", ""option_c"": ""Continuous pain, sometimes sleepless, exacerbated by eating certain foods, with well-rounded ulceration, regular margins, flat fibrinous base, surrounded by a slightly red halo"", ""option_d"": ""Throbbing, fluctuating, non-rhythmic pain with local inflammatory signs and limited mouth opening"", ""correct_option"": ""A""}",Positive diagnosis,What is the typical pain pattern and examination findings in a patient with a dental abscess?,"Sharp, stabbing, sleepless pain with general infectious signs and sometimes spectacular local signs (oedema, vestibular filling, reddening of the skin opposite the causal tooth, trismus, cervical adenopathy)","Brief pain after stimulus to the tooth (cold, hot, sugar, acid)","Continuous pain, sometimes sleepless, exacerbated by eating certain foods, with well-rounded ulceration, regular margins, flat fibrinous base, surrounded by a slightly red halo","Throbbing, fluctuating, non-rhythmic pain with local inflammatory signs and limited mouth opening",a
OIC-099-10-A,"{""question"": ""What type of headache is associated with ear pain and linked to pathology of the external or middle ear?"", ""option_a"": ""Trigeminal neuralgia"", ""option_b"": ""Migraine"", ""option_c"": ""Headache of auricular cause"", ""option_d"": ""Facial pain"", ""correct_option"": ""C""}",Positive diagnosis,What type of headache is associated with ear pain and linked to pathology of the external or middle ear?,Trigeminal neuralgia,Migraine,Headache of auricular cause,Facial pain,c
